Question,1,2,3,4,5,Reflective Questions,EXAMPLE
SC1,"Dette tyder på, at du kan have betydelige fysiske eller kognitive begrænsninger, såsom lammelser eller slagtilfælde-relaterede kognitive svækkelser, som forhindrer dig i at tilberede mad selvstændigt.","Dette tyder på, at du kan stå over for betydelige udfordringer med at tilberede mad, såsom vanskeligheder med finmotorik eller koordination.","Dette tyder på, at du kan have mindre vanskeligheder med at tilberede mad, muligvis på grund af milde fysiske begrænsninger eller vanskeligheder med multi-tasking.","Dette tyder på, at du kan have nogle mindre udfordringer med at tilberede mad, såsom træthed eller mild svaghed.","Dette indikerer, at du ikke har oplevet nogen vanskeligheder med at tilberede mad.","Var der i løbet af den sidste uge et tilfælde, hvor du lavede et måltid til dig selv, og du syntes det var udfordrende?","fx rystede dine hænder, du kunne ikke styre køkkenudstyr med præcision, du blev for træt, bestilte mad"
SC2,"Denne mulighed antyder, at du ikke er i stand til at spise uden hjælp, og at du muligvis har brug for hjælp til at skære eller sluge din mad.","Denne mulighed antyder, at du stod over for betydelige problemer med at spise, muligvis på grund af fysiske eller kognitive begrænsninger. Du kan have oplevet vanskeligheder med at bruge redskaber eller med at synke.","Denne mulighed tyder på, at du har oplevet mindre problemer med at spise. Dette kan indikere mindre fysiske begrænsninger eller vanskeligheder med at bruge redskaber.","Denne mulighed antyder, at du oplevede nogle mindre udfordringer med at spise, muligvis på grund af træthed eller milde fysiske begrænsninger.","Denne mulighed indikerer, at du ikke oplevede nogen problemer med at spise.","Hvad var din oplevelse i løbet af den sidste uge, mens du spiste mad? Var der en del af processen, der viste sig at være svær?","fx skære mad, tygge, synke"
SC4,"Dette tyder på, at du kan have brug for hjælp til påklædning på grund af betydelige fysiske eller kognitive begrænsninger, såsom lammelser eller slagtilfælde-relaterede kognitive svækkelser.","Denne mulighed antyder, at du kan stå over for betydelige udfordringer med at klæde dig på på grund af vanskeligheder med finmotorik eller koordination.","Denne mulighed tyder på, at du kan opleve mindre vanskeligheder med at klæde dig på, muligvis på grund af milde fysiske begrænsninger eller vanskeligheder med multi-tasking.","Denne mulighed antyder, at du kan opleve nogle mindre udfordringer med at klæde dig på, såsom træthed eller mild svaghed.","Denne mulighed indikerer, at du ikke oplevede nogen vanskeligheder med at klæde dig på.","Har du i løbet af den seneste uge oplevet nogle problemer, mens du tog dit tøj på?",har eksempler
SC5,"Dette tyder på, at du muligvis har brug for hjælp til at tage et bad eller brusebad på grund af alvorlige fysiske eller kognitive begrænsninger.","Dette tyder på, at du stod over for betydelige udfordringer med at tage et bad eller brusebad, muligvis på grund af problemer med balance, koordination eller mobilitet.","Dette tyder på, at du har oplevet mindre vanskeligheder med at tage et bad eller brusebad, muligvis på grund af milde fysiske begrænsninger eller vanskeligheder med multi-tasking.","Dette tyder på, at du oplevede nogle mindre udfordringer ved at tage et bad eller brusebad, såsom træthed eller mild svaghed.","Dette indikerer, at du ikke oplevede nogen vanskeligheder med at tage et bad eller brusebad.","Var der i løbet af den sidste uge et tidspunkt, hvor du havde problemer med at tage et bad eller brusebad?","du kunne f.eks. ikke komme ud af badet, du skulle sætte dig ned i bruseren, du kunne ikke vaske alle dele af din krop"
SC8,"Denne mulighed antyder, at du ikke var i stand til at bruge toilettet selvstændigt og muligvis har brug for hjælp.","Denne mulighed tyder på, at du har haft betydelige vanskeligheder med at bruge toilettet, muligvis på grund af fysiske eller kognitive begrænsninger.","Denne mulighed tyder på, at du har oplevet mindre vanskeligheder med at bruge toilettet.","Denne mulighed tyder på, at du har oplevet nogle mindre udfordringer med at bruge toilettet, muligvis på grund af træthed eller let svaghed.","Denne mulighed indikerer, at du ikke har oplevet problemer med at bruge toilettet.","I løbet af den sidste uge, da du gik på toilettet, har du oplevet nogen gener?","fx du havde problemer med at tage tøj af, du havde problemer med at kontrollere dine tarme eller blære, urininkontinens"
V1,Du kunne slet ikke se fjernsynet og kunne ikke nyde et show.,Du stod over for betydelige udfordringer ved at se fjernsynet.,"Du oplevede mindre vanskeligheder med at se fjernsynet, muligvis på grund af milde synsnedsættelser eller forstyrrelser i omgivelserne.","Du oplevede nogle mindre udfordringer ved at se fjernsynet, såsom træthed eller mild visuel belastning.",Du oplevede ingen problemer med at se fjernsynet.,"I løbet af den sidste uge, da du så tv, var det svært for dig at se indholdet så klart, som du gerne ville?","fx dine øjne blev trætte, begyndte at løbe i vand, dit syn blev sløret"
V2,Du kan have været ude af stand til at række ud efter ting på grund af dårligt syn og krævet hjælp til daglige aktiviteter.,"Du kan have stået over for betydelige udfordringer med at række ud efter ting, muligvis på grund af synshandicap eller vanskeligheder med synsbearbejdning.","Du kan have oplevet mindre vanskeligheder med at række ud efter ting, muligvis på grund af milde synsnedsættelser eller forstyrrelser i omgivelserne.","Du har måske oplevet nogle mindre udfordringer med at række ud efter ting, såsom træthed eller mild visuel belastning.",Du oplevede ingen vanskeligheder med at række ud efter ting på grund af dårligt syn.,"I løbet af den sidste uge, påvirkede dit dårlige syn din evne til at række ud efter ting?","fx objekter havde en anden placering, end du så dem, er der en del af din FOV, der er blokeret"
V3,"Denne mulighed antyder, at du slet ikke var i stand til at se tingene væk fra den ene side og havde brug for hjælp til daglige aktiviteter.","Denne mulighed antyder, at du stod over for betydelige udfordringer med at se tingene væk fra den ene side.","Denne mulighed antyder, at du oplevede mindre vanskeligheder med at se tingene væk fra den ene side.","Denne mulighed antyder, at du oplevede nogle mindre udfordringer med at se tingene væk fra den ene side, såsom træthed eller mild visuel belastning.","Denne mulighed angiver, at du ikke oplevede nogen problemer med at se tingene væk fra den ene side.","Har du i løbet af den sidste uge bemærket, at dit syn var blokeret på den ene side, så du havde problemer med at se genstande?","fx når du krydser en vej, når du cyklede, manglede du en del af synsfeltet"
L2,"Dette indikerer, at du ikke var i stand til at tale eller havde brug for betydelig hjælp til at kommunikere.","Dette tyder på, at du stod over for betydelige udfordringer med at tale.","Denne mulighed antyder, at du har oplevet mindre vanskeligheder med at tale.","Denne mulighed antyder, at du har oplevet nogle mindre udfordringer med at tale, såsom lejlighedsvis stammen eller let slør i ord.","Dette indikerer, at du ikke har oplevet nogen vanskeligheder med at tale.","Har du i løbet af den sidste uge oplevet, at du har problemer med at kommunikere dine tanker til andre?",har eksempler
L3,Du var ikke i stand til at tale tydeligt nok til at bruge telefonen og havde brug for hjælp.,Du stod over for betydelige udfordringer med at tale tydeligt nok til at bruge telefonen.,Du oplevede mindre vanskeligheder med at tale tydeligt nok til at bruge telefonen.,"Du oplevede nogle mindre udfordringer med at tale tydeligt nok til at bruge telefonen, såsom lejlighedsvis vanskeligheder med at udtale.",Du havde ikke problemer med at tale tydeligt nok til at bruge telefonen.,"Kunne du i løbet af den seneste uge tale i telefon med andre, der forstår dig tydeligt?","du skulle f.eks. have en anden til at overtage en samtale, da folk ikke kunne forstå dig"
